state,intv_id,policy_name,policy_type,feature,change_pct,causal,cost_tier,feasibility,time_horizon,base_prob,cf_prob,abs_effect,rel_effect,risk_tier,description,score,irm_stable
Ladakh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Lakshadweep,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Lakshadweep,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Lakshadweep,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Lakshadweep,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Lakshadweep,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Lakshadweep,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Madhya Pradesh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.8805,0.5105,-0.37,-42.02,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,25.862,True
Madhya Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.8805,0.5105,-0.37,-42.02,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,26.262,True
Madhya Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.8805,0.8805,0.0,0.0,CRITICAL,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Madhya Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.8805,0.8805,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,False
Madhya Pradesh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.8805,0.8805,0.0,0.0,CRITICAL,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Madhya Pradesh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.8805,0.8805,0.0,0.0,CRITICAL,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Maharashtra,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),1.0,0.5815,-0.4185,-41.85,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,25.759999999999998,True
Maharashtra,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),1.0,0.9515,-0.0485,-4.85,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,3.9599999999999995,True
Maharashtra,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Maharashtra,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,False
Maharashtra,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),1.0,1.0,0.0,0.0,CRITICAL,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Maharashtra,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),1.0,1.0,0.0,0.0,CRITICAL,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Manipur,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Manipur,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Manipur,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Manipur,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Manipur,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Manipur,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Meghalaya,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Meghalaya,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Meghalaya,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Meghalaya,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Meghalaya,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Meghalaya,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Mizoram,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Mizoram,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Mizoram,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Mizoram,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Mizoram,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Mizoram,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Nagaland,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Nagaland,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Nagaland,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Nagaland,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Nagaland,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Nagaland,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Odisha,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0107,0.0107,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Odisha,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0107,0.0107,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Odisha,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0107,0.0107,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Odisha,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0107,0.0107,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Odisha,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0107,0.0107,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Odisha,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0107,0.0107,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Puducherry,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Puducherry,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Puducherry,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Puducherry,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Puducherry,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Puducherry,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Punjab,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0025,0.0025,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Punjab,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0025,0.0025,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Punjab,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0025,0.0025,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Punjab,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0025,0.0025,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Punjab,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0025,0.0025,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Punjab,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0025,0.0025,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Rajasthan,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.3305,0.2905,-0.04,-12.1,MODERATE,Intensive case finding + treatment completion to reduce active TB cases by 40%,7.91,True
Rajasthan,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.3305,0.2905,-0.04,-12.1,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,8.31,True
Rajasthan,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.3305,0.3305,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Rajasthan,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.3305,0.3305,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,False
Rajasthan,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.3305,0.3305,0.0,0.0,MODERATE,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Rajasthan,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.3305,0.3305,0.0,0.0,MODERATE,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Sikkim,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Sikkim,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Sikkim,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Sikkim,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Sikkim,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Sikkim,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Tamil Nadu,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.2699,0.2699,0.0,0.0,MODERATE,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Tamil Nadu,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2699,0.2699,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Tamil Nadu,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2699,0.2699,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Tamil Nadu,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2699,0.2699,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,False
Tamil Nadu,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.2699,0.2699,0.0,0.0,MODERATE,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Tamil Nadu,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.2699,0.2699,0.0,0.0,MODERATE,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Telangana,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.1069,0.1069,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Telangana,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.1069,0.1069,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Telangana,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.1069,0.1069,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Telangana,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.1069,0.1069,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Telangana,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.1069,0.1069,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Telangana,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.1069,0.1069,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Tripura,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Tripura,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Tripura,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Tripura,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Tripura,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Tripura,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Uttar Pradesh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),1.0,1.0,0.0,0.0,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Uttar Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),1.0,1.0,0.0,0.0,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Uttar Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Uttar Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,False
Uttar Pradesh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),1.0,1.0,0.0,0.0,CRITICAL,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Uttar Pradesh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),1.0,1.0,0.0,0.0,CRITICAL,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Uttarakhand,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Uttarakhand,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Uttarakhand,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Uttarakhand,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Uttarakhand,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Uttarakhand,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
West Bengal,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.2797,0.2797,0.0,0.0,MODERATE,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
West Bengal,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2797,0.2797,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
West Bengal,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2797,0.2797,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
West Bengal,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2797,0.2797,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,False
West Bengal,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.2797,0.2797,0.0,0.0,MODERATE,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
West Bengal,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.2797,0.2797,0.0,0.0,MODERATE,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
